Period,Start Date,End Date,ZIP Code,Service District,Quality of Life,Overall Feeling of Safety,Neighborhood Safety,City Appearance,Neighborhood Appearance,Nashville as Residence,Nashville as Place to Raise Children,Nashville as Workplace,Nashville as Place to Start/Grow Business,Nashville as Retirement Place,Metro Services - Overall,Value Received from Taxes,Elected Official Leadership,Elected Official Responsiveness,Elected Official Accessibility,Metro Transparency and Ethics,Metro Budgeting and Stewardship,Customer Service,Metro Communication,Decision Input Opportunity,Crime Prevention,Police - Overall,Fire and EMS - Overall,Streets and Sidewalks - Overall,Trash and Recycling - Overall,Public Education,Public Health - Overall,Public Library,Social Services - Overall,Economic Development - Overall,Parks and Recreation - Overall,Code Enforcement - Overall,Public Transit - Overall,Water Services - Overall,Metro-provided Arts and Culture - Overall,Affordable Housing - Overall,Historic Preservation - Overall,1st Priority Service,2nd Priority Service,3rd Priority Service,4th Priority Service,5th Priority Service,City Street Maintenance,Street Signs and Traffic Signals,Pedestrian Infrastructure,Curb Space Management,Bicycle Infrastructure,Trash Service,Curbside Recycling,Drop-off Recycling,Street Lighting,Public Works Personnel Professionalism,Police Visibility,Traffic Enforcement,Police Professionalism,Police Response Time,School Crossing Guards,School Resource Officers,Youth Violence Programs,Special Event Security,Fire Services,Fire Response Time,Emergency Medical Services (EMS),EMS Response Time,Fire Professionalism,EMS Professionalism,MTA Bus Service,Music City Circuit,AccessRide,Music City Star,Park and Ride,Bus Shelters,MTA Personnel Professionalism,Trash and Debris Enforcement,Lawn and Brush Enforcement,Exterior Maintenance Enforcement,Short-Term Rental Enforcement,STRP Complaint Hotline,Codes Personnel Professionalism,Codes Responsiveness,911 Services,Non-Emergency Number,hubNashville (311),Program Information Availability,Nashville.gov,Metro Video Programming,Metro Social Media,Parks Maintenance,Outdoor Athletic Fields,Walking and Biking Trails,Swimming Pools,Community Centers,Youth Recreation Programs,Senior Recreation Programs,Parks Personnel Professionalism,Park Safety,Burial Assistance Program,Family Support Services,Homeless Services,Nutrition Programs,Head Start / Early Head Start,Low Income Home Energy Assistance Program (LIHEAP),Violent Crime Victim Services,Tap Water,Water Service Reliability,Water Emergency Response,Flood Prevention,Stormwater Fund Use,Water Services Value,Water Services Communication,Water Services Information Availability,Water Services Social Media,Water Services Employee Interaction,Crime Victim,MNPD Officer Contact,311 (hubNashville) Usage,Nashville.gov Usage,Park / Community Center Usage,MTA Bus Service Usage,Bicycle Usage,Arts / Cultural Event Attendance,Public Library Usage,Metro Elected Official Contact,Public Meeting Attendance,Neighborhood Meeting Attendance,Monthly Housing Cost Over 30%,Rideshare / Bikeshare Usage,"Commute by Walking, Biking, or Bus",Affordable Housing Preference,Opioid Addiction,Neighborhood Tree Canopy,Internet Use for Information,Mobile Phone Internet Access,Home Internet Access,Natural Disaster Preparedness,$500 Emergency Expense,Healthcare Access,Healthy Food Access,Childcare Access,Pre-K Access,Public Transit Access,Park and Green Space Access,Affordable Housing Access,Diversity Support Efforts,Diversity Acceptance,Disability Access,Job Access,Neighborhood Arts and Culture,Small Business and Freelance Work Space,Farmers' Market,General Hospital,Emergency and Natural Disaster Response,No Children in Davidson County,Children Ages 0-5,Children Ages 6-13,Children Ages 14-17,Public School Attendance,Charter School Attendance,Private School Attendance,Other School Attendance,Other School Definition,School Quality,Own or Rent,Years Lived in Davidson County,Business Owner / Operator,Race / Ethnicity - White,Race / Ethnicity - Black,Race / Ethnicity - Hispanic,Race / Ethnicity - Asian or Pacific Islander,Race / Ethnicity - Native American or Alaskan Native,Race / Ethnicity - Other,Race / Ethnicity - Other Definition,Total Annual Household Income,Age,Gender Identity,Education Attained
2019Q1,02/13/2019,03/22/2019,37207,Urban Services District,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Good,Good,Good,Good,Poor,Neutral,Neutral,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Neutral,Very Satisfied,Dissatisfied,Very Satisfied,Dissatisfied,Neutral,Neutral,Very Dissatisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,Police,Economic development,Streets and sidewalks,Public education,Fire and EMS,Very Dissatisfied,Very Satisfied,Neutral,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Very Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Don't Know,Don't Know,Neutral,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,true,Yes,Yes,Yes,Yes,Yes,No,Neutral,Neutral,Don't Know,Don't Know,Neutral,Very Dissatisfied,Don't Know,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Dissatisfied,Neutral,Very Dissatisfied,Yes,,,,,,,,,,Own,62,No,,Yes,,,,,,"$60,000 to $99,999",45-54,Female,Associate's degree
2019Q1,02/13/2019,03/22/2019,37115,General Services District,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Below Average,Below Average,Good,Good,Below Average,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Public education,Public health,Fire and EMS,Solid waste services,Streets and sidewalks,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Neutral,Neutral,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,false,Yes,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Dissatisfied,,,Yes,,Yes,,,,,Good,Own,22,Yes,,,Yes,,,,,"$60,000 to $99,999",35-44,Female,High school graduate
2019Q1,02/13/2019,03/22/2019,37218,Urban Services District,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Good,Good,Good,Excellent,Good,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Neutral,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Public education,Social services,Affordable housing,Public health,Code enforcement,Satisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Don't Know,Neutral,Neutral,Satisfied,Satisfied,Don't Know,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,true,Yes,Yes,Yes,Yes,No,No,Dissatisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Neutral,Don't Know,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Yes,,,,,,,,,,Own,70,No,,Yes,,,,,,"$60,000 to $99,999",55-64,Female,Bachelor's degree
2019Q1,02/13/2019,03/22/2019,37189,Urban Services District,Neutral,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Below Average,Good,Neutral,Good,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Neutral,Public education,Public health,Affordable housing,Social services,Streets and sidewalks,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Neutral,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Don't Know,Neutral,Don't Know,Satisfied,Neutral,Don't Know,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Don't Know,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Don't Know,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,true,Yes,No,Yes,Yes,Yes,No,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Yes,,,,,,,,,,Own,45,No,Yes,,,,,,,"$30,000 to $59,999",45-54,Female,Associate's degree
2019Q1,02/13/2019,03/22/2019,37207,Urban Services District,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Good,Good,Good,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,,,,,,Neutral,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Neutral,Neutral,Satisfied,Don't Know,Don't Know,Neutral,Neutral,Dissatisfied,Neutral,Don't Know,Dissatisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,false,No,No,No,No,No,No,Satisfied,Neutral,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Neutral,Don't Know,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Don't Know,Dissatisfied,Dissatisfied,Yes,,,,,,,,,,Own,40,No,,Yes,,,,,,"Under $30,000",55-64,Female,Bachelor's degree
2019Q1,02/13/2019,03/22/2019,37215,Urban Services District,Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Excellent,Excellent,Excellent,Good,Good,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Neutral,Police,Public transportation,Streets and sidewalks,Public education,Social services,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Very Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Very Satisfied,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Neutral,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Don't Know,Neutral,Dissatisfied,Don't Know,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,true,Yes,Yes,Yes,Yes,Yes,Yes,Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Very Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Yes,,,,,,,,,,Own,35,No,,,Yes,,,,,,45-54,Female,
2019Q1,02/13/2019,03/22/2019,37204,General Services District,Satisfied,Neutral,Very Satisfied,Neutral,Very Satisfied,Good,Don't Know,Good,Good,Don't Know,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,Dissatisfied,Neutral,Police,Public education,Streets and sidewalks,Public transportation,Affordable housing,Don't Know,Satisfied,Dissatisfied,Neutral,Satisfied,Don't Know,Don't Know,Neutral,Neutral,Don't Know,Satisfied,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Neutral,Neutral,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Don't Know,Don't Know,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,false,Yes,Yes,Yes,Yes,Yes,Yes,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Neutral,Dissatisfied,Don't Know,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Don't Know,Dissatisfied,Don't Know,Dissatisfied,Yes,,,,,,,,,,Own,10,No,,Yes,,,,,,"$100,000 or more",25-34,Female,Bachelor's degree
2019Q1,02/13/2019,03/22/2019,37072,General Services District,Don't Know,Satisfied,Satisfied,Neutral,Satisfied,Good,Don't Know,Good,Don't Know,Don't Know,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Neutral,Neutral,Neutral,Neutral,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,,,,,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Don't Know,Neutral,Neutral,Neutral,Don't Know,Neutral,Don't Know,Don't Know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,true,No,No,Yes,Yes,Yes,Yes,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Yes,,,,,,,,,,Rent,4,No,,Yes,,,,,,"$30,000 to $59,999",18-24,Female,Graduate degree
2019Q1,02/13/2019,03/22/2019,37221,General Services District,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Good,Neutral,Good,Good,Good,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Don't Know,Satisfied,Dissatisfied,Neutral,Very Satisfied,Don't Know,Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Very Dissatisfied,Satisfied,Neutral,Streets and sidewalks,Public education,Police,Water / stormwater,Public transportation,Very Dissatisfied,Satisfied,Neutral,Neutral,Dissatisfied,Don't Know,Don't Know,Satisfied,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Don't Know,Satisfied,Don't Know,Very Dissatisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,false,Yes,Yes,Yes,Yes,Yes,Yes,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Neutral,Dissatisfied,Don't Know,Neutral,Satisfied,Neutral,Don't Know,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Yes,,,,,,,,,,Own,50,No,Yes,,,,,,,"$60,000 to $99,999",55-64,Female,Bachelor's degree
2019Q1,02/13/2019,03/22/2019,37072,General Services District,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Excellent,Good,Good,Good,Good,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Public education,Code enforcement,Affordable housing,Police,Public transportation,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Don't Know,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,true,Yes,Yes,Yes,Yes,Yes,Yes,Very Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,,Yes,Yes,,,,,,Excellent,Rent,19,No,,,Yes,,,,,"$100,000 or more",25-34,Male,Graduate degree
2019Q1,02/13/2019,03/22/2019,37076,General Services District,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Streets and sidewalks,Affordable housing,Public transportation,Social services,Public education,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Don't Know,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Don't Know,Don't Know,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Neutral,Neutral,Don't Know,Don't Know,Neutral,Neutral,Don't Know,Neutral,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,false,No,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Satisfied,Don't Know,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Neutral,Neutral,Yes,,,,,,,,,,Own,18,No,Yes,,,,,,,"Under $30,000",45-54,Male,Bachelor's degree
2019Q1,02/13/2019,03/22/2019,37076,General Services District,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Good,Good,Good,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Streets and sidewalks,Public education,Affordable housing,Code enforcement,Social services,Dissatisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,false,Yes,Yes,Yes,Yes,Yes,Yes,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Yes,,,,,,,,,,Rent,20,No,,Yes,,,,,,"$100,000 or more",25-34,Male,Graduate degree
